[2026-03-30T21:25:16.086075] ACTION: IOT_UPLOAD | CAT: b暹罗_小黑 | ML: 159.2 | RESULT: 达标
[2026-04-06T01:01:09.646032] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 343.4 | RESULT: 达标
[2026-04-06T01:01:09.690471] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 281.3 | RESULT: 达标
[2026-04-06T01:01:09.730692] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 290.2 | RESULT: 达标
[2026-04-06T01:01:09.777389] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 301.9 | RESULT: 达标
[2026-04-06T01:01:09.818774] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 314.4 | RESULT: 达标
[2026-04-06T01:01:09.866087] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 255.1 | RESULT: 达标
[2026-04-06T01:01:09.909229] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 306.7 | RESULT: 达标
[2026-04-06T01:01:09.954520] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 290.6 | RESULT: 达标
[2026-04-06T01:01:09.997661] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 323.5 | RESULT: 达标
[2026-04-06T01:01:10.037781] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 321.8 | RESULT: 达标
[2026-04-06T01:01:10.078121] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 279.2 | RESULT: 达标
[2026-04-06T01:01:10.124836] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 313.6 | RESULT: 达标
[2026-04-06T01:01:10.188080] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 291.3 | RESULT: 达标
[2026-04-06T01:01:10.262376] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 277.1 | RESULT: 达标
[2026-04-06T01:01:10.329884] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 276.1 | RESULT: 达标
[2026-04-06T01:01:10.408392] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 306.1 | RESULT: 达标
[2026-04-06T01:01:10.494912] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 335.0 | RESULT: 达标
[2026-04-06T01:01:10.546662] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 273.4 | RESULT: 达标
[2026-04-06T01:01:10.598633] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 317.4 | RESULT: 达标
[2026-04-06T01:01:10.656530] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 282.3 | RESULT: 达标
[2026-04-06T01:01:10.720040] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 308.6 | RESULT: 达标
[2026-04-06T01:01:10.787754] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 274.9 | RESULT: 达标
[2026-04-06T01:01:10.853926] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 275.7 | RESULT: 达标
[2026-04-06T01:01:10.897184] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 345.6 | RESULT: 达标
[2026-04-06T01:01:10.941800] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 428.9 | RESULT: 超标
[2026-04-06T01:01:10.986581] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 343.2 | RESULT: 达标
[2026-04-06T01:01:11.032872] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 306.0 | RESULT: 达标
[2026-04-06T01:01:11.076037] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 322.1 | RESULT: 达标
[2026-04-06T01:01:11.117293] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 301.6 | RESULT: 达标
[2026-04-06T01:01:11.156484] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 297.6 | RESULT: 达标
[2026-04-06T01:01:11.199171] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 299.7 | RESULT: 达标
[2026-04-06T01:01:11.242816] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 272.0 | RESULT: 达标
[2026-04-06T01:01:11.281566] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 312.4 | RESULT: 达标
[2026-04-06T01:01:11.324634] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 280.2 | RESULT: 达标
[2026-04-06T01:01:11.364916] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 283.6 | RESULT: 达标
[2026-04-06T01:01:11.409271] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 297.0 | RESULT: 达标
[2026-04-06T01:01:11.448972] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 329.4 | RESULT: 达标
[2026-04-06T01:01:11.489077] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 292.4 | RESULT: 达标
[2026-04-06T01:01:11.528940] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 297.4 | RESULT: 达标
[2026-04-06T01:01:11.573409] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 262.6 | RESULT: 达标
[2026-04-06T01:01:11.617573] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 327.2 | RESULT: 达标
[2026-04-06T01:01:11.658586] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 300.1 | RESULT: 达标
[2026-04-06T01:01:11.705691] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 300.1 | RESULT: 达标
[2026-04-06T01:01:11.750674] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 329.9 | RESULT: 达标
[2026-04-06T01:01:11.793361] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 291.9 | RESULT: 达标
[2026-04-06T01:01:11.836013] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 307.6 | RESULT: 达标
[2026-04-06T01:01:11.881718] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 290.4 | RESULT: 达标
[2026-04-06T01:01:11.926390] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 300.2 | RESULT: 达标
[2026-04-06T01:01:11.970522] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 155.5 | RESULT: 未达标
[2026-04-06T01:01:12.011230] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 295.2 | RESULT: 达标
[2026-04-06T01:01:12.053966] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 277.5 | RESULT: 达标
[2026-04-06T01:01:12.096404] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 294.9 | RESULT: 达标
[2026-04-06T01:01:12.139871] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 313.2 | RESULT: 达标
[2026-04-06T01:01:12.180999] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 308.3 | RESULT: 达标
[2026-04-06T01:01:12.225257] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 245.4 | RESULT: 达标
[2026-04-06T01:01:12.268687] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 311.0 | RESULT: 达标
[2026-04-06T01:01:12.312718] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 291.7 | RESULT: 达标
[2026-04-06T01:01:12.358030] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 304.9 | RESULT: 达标
[2026-04-06T01:01:12.395160] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 354.9 | RESULT: 达标
[2026-04-06T01:01:12.438950] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 300.3 | RESULT: 达标
[2026-04-06T01:01:12.482312] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 316.2 | RESULT: 达标
[2026-04-06T01:01:12.522954] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 290.3 | RESULT: 达标
[2026-04-06T01:01:12.566368] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 307.3 | RESULT: 达标
[2026-04-06T01:01:12.609319] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 276.3 | RESULT: 达标
[2026-04-06T01:01:12.655068] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 302.4 | RESULT: 达标
[2026-04-06T01:01:12.705247] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 300.1 | RESULT: 达标
[2026-04-06T01:01:12.748095] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 319.6 | RESULT: 达标
[2026-04-06T01:01:12.792796] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 302.1 | RESULT: 达标
[2026-04-06T01:01:12.832542] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 157.3 | RESULT: 未达标
[2026-04-06T01:01:12.882198] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 294.0 | RESULT: 达标
[2026-04-06T01:01:12.938930] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 301.1 | RESULT: 达标
[2026-04-06T01:01:12.988085] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 297.6 | RESULT: 达标
[2026-04-06T01:01:13.038088] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 284.7 | RESULT: 达标
[2026-04-06T01:01:13.080402] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 314.9 | RESULT: 达标
[2026-04-06T01:01:13.123930] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 301.8 | RESULT: 达标
[2026-04-06T01:01:13.165019] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 300.5 | RESULT: 达标
[2026-04-06T01:01:13.207441] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 316.2 | RESULT: 达标
[2026-04-06T01:01:13.247918] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 421.1 | RESULT: 超标
[2026-04-06T01:01:13.292822] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 302.9 | RESULT: 达标
[2026-04-06T01:01:13.336232] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 329.7 | RESULT: 达标
[2026-04-06T01:01:13.379237] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 295.3 | RESULT: 达标
[2026-04-06T01:01:13.420750] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 280.8 | RESULT: 达标
[2026-04-06T01:01:13.462589] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 297.8 | RESULT: 达标
[2026-04-06T01:01:13.503330] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 284.7 | RESULT: 达标
[2026-04-06T01:01:13.545073] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 312.6 | RESULT: 达标
[2026-04-06T01:01:13.588206] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 303.1 | RESULT: 达标
[2026-04-06T01:01:13.632989] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 304.5 | RESULT: 达标
[2026-04-06T01:01:13.674329] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 470.8 | RESULT: 超标
[2026-04-06T01:01:13.720963] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 298.2 | RESULT: 达标
[2026-04-06T01:01:13.761500] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 285.7 | RESULT: 达标
[2026-04-08T23:21:28.941916] ACTION: IOT_UPLOAD | CAT: test_cat_80 | ML: 35.5 | RESULT: 未达标
[2026-04-08T23:21:28.949391] ACTION: IOT_UPLOAD | CAT: test_cat_83 | ML: 54.2 | RESULT: 未达标
[2026-04-08T23:21:28.951479] ACTION: IOT_UPLOAD | CAT: test_cat_25 | ML: 176.4 | RESULT: 达标
[2026-04-08T23:21:28.953621] ACTION: IOT_UPLOAD | CAT: test_cat_30 | ML: 73.2 | RESULT: 未达标
[2026-04-08T23:21:28.955056] ACTION: IOT_UPLOAD | CAT: test_cat_22 | ML: 191.6 | RESULT: 超标
[2026-04-08T23:21:28.956867] ACTION: IOT_UPLOAD | CAT: test_cat_10 | ML: 50.7 | RESULT: 未达标
[2026-04-08T23:21:28.958900] ACTION: IOT_UPLOAD | CAT: test_cat_56 | ML: 268.6 | RESULT: 超标
[2026-04-08T23:21:28.960872] ACTION: IOT_UPLOAD | CAT: test_cat_82 | ML: 37.4 | RESULT: 未达标
[2026-04-08T23:21:28.961497] ACTION: IOT_UPLOAD | CAT: test_cat_9 | ML: 39.4 | RESULT: 未达标
[2026-04-08T23:21:28.962208] ACTION: IOT_UPLOAD | CAT: test_cat_90 | ML: 12.6 | RESULT: 未达标
[2026-04-08T23:21:28.962942] ACTION: IOT_UPLOAD | CAT: test_cat_16 | ML: 155.8 | RESULT: 达标
[2026-04-08T23:21:28.963588] ACTION: IOT_UPLOAD | CAT: test_cat_90 | ML: 282.5 | RESULT: 超标
[2026-04-08T23:21:28.964237] ACTION: IOT_UPLOAD | CAT: test_cat_33 | ML: 82.8 | RESULT: 未达标
[2026-04-08T23:21:28.964986] ACTION: IOT_UPLOAD | CAT: test_cat_48 | ML: 36.9 | RESULT: 未达标
[2026-04-08T23:21:28.965723] ACTION: IOT_UPLOAD | CAT: test_cat_18 | ML: 18.2 | RESULT: 未达标
[2026-04-08T23:21:28.966731] ACTION: IOT_UPLOAD | CAT: test_cat_13 | ML: 176.5 | RESULT: 达标
[2026-04-08T23:21:28.968078] ACTION: IOT_UPLOAD | CAT: test_cat_91 | ML: 270.4 | RESULT: 超标
[2026-04-08T23:21:28.970880] ACTION: IOT_UPLOAD | CAT: test_cat_33 | ML: 203.4 | RESULT: 超标
[2026-04-08T23:21:28.972249] ACTION: IOT_UPLOAD | CAT: test_cat_19 | ML: 271.2 | RESULT: 超标
[2026-04-08T23:21:28.973102] ACTION: IOT_UPLOAD | CAT: test_cat_81 | ML: 159.3 | RESULT: 达标
[2026-04-08T23:21:28.973731] ACTION: IOT_UPLOAD | CAT: test_cat_25 | ML: 176.4 | RESULT: 达标
[2026-04-08T23:21:28.975234] ACTION: IOT_UPLOAD | CAT: test_cat_55 | ML: 36.1 | RESULT: 未达标
[2026-04-08T23:21:28.976869] ACTION: IOT_UPLOAD | CAT: test_cat_40 | ML: 216.8 | RESULT: 超标
[2026-04-08T23:21:28.980755] ACTION: IOT_UPLOAD | CAT: test_cat_79 | ML: 267.5 | RESULT: 超标
[2026-04-08T23:21:28.987636] ACTION: IOT_UPLOAD | CAT: test_cat_63 | ML: 229.5 | RESULT: 超标
[2026-04-08T23:21:28.989133] ACTION: IOT_UPLOAD | CAT: test_cat_55 | ML: 259.3 | RESULT: 超标
[2026-04-08T23:21:28.990073] ACTION: IOT_UPLOAD | CAT: test_cat_58 | ML: 115.2 | RESULT: 未达标
[2026-04-08T23:21:28.990816] ACTION: IOT_UPLOAD | CAT: test_cat_98 | ML: 220.2 | RESULT: 超标
[2026-04-08T23:21:28.991254] ACTION: IOT_UPLOAD | CAT: test_cat_17 | ML: 211.6 | RESULT: 超标
[2026-04-08T23:21:28.991674] ACTION: IOT_UPLOAD | CAT: test_cat_83 | ML: 54.2 | RESULT: 未达标
[2026-04-08T23:21:28.991986] ACTION: IOT_UPLOAD | CAT: test_cat_4 | ML: 99.1 | RESULT: 未达标
[2026-04-08T23:21:28.992279] ACTION: IOT_UPLOAD | CAT: test_cat_98 | ML: 51.4 | RESULT: 未达标
[2026-04-08T23:21:28.992564] ACTION: IOT_UPLOAD | CAT: test_cat_3 | ML: 184.7 | RESULT: 超标
[2026-04-08T23:21:28.993176] ACTION: IOT_UPLOAD | CAT: test_cat_15 | ML: 267.5 | RESULT: 超标
[2026-04-08T23:21:28.993872] ACTION: IOT_UPLOAD | CAT: test_cat_80 | ML: 35.5 | RESULT: 未达标
[2026-04-08T23:21:28.994538] ACTION: IOT_UPLOAD | CAT: test_cat_71 | ML: 57.1 | RESULT: 未达标
[2026-04-08T23:21:28.995225] ACTION: IOT_UPLOAD | CAT: test_cat_2 | ML: 192.5 | RESULT: 超标
[2026-04-08T23:21:28.995921] ACTION: IOT_UPLOAD | CAT: test_cat_30 | ML: 73.2 | RESULT: 未达标
[2026-04-08T23:21:28.996447] ACTION: IOT_UPLOAD | CAT: test_cat_34 | ML: 244.1 | RESULT: 超标
[2026-04-08T23:21:28.997159] ACTION: IOT_UPLOAD | CAT: test_cat_29 | ML: 24.3 | RESULT: 未达标
[2026-04-08T23:21:28.997841] ACTION: IOT_UPLOAD | CAT: test_cat_84 | ML: 200.7 | RESULT: 超标
[2026-04-08T23:21:28.998551] ACTION: IOT_UPLOAD | CAT: test_cat_1 | ML: 98.2 | RESULT: 未达标
[2026-04-08T23:21:28.999218] ACTION: IOT_UPLOAD | CAT: test_cat_9 | ML: 247.2 | RESULT: 超标
[2026-04-08T23:21:28.999768] ACTION: IOT_UPLOAD | CAT: test_cat_45 | ML: 218.0 | RESULT: 超标
[2026-04-08T23:21:29.000387] ACTION: IOT_UPLOAD | CAT: test_cat_10 | ML: 50.7 | RESULT: 未达标
[2026-04-08T23:21:29.001011] ACTION: IOT_UPLOAD | CAT: test_cat_37 | ML: 139.5 | RESULT: 达标
[2026-04-08T23:21:29.001705] ACTION: IOT_UPLOAD | CAT: test_cat_8 | ML: 225.1 | RESULT: 超标
[2026-04-08T23:21:29.002291] ACTION: IOT_UPLOAD | CAT: test_cat_71 | ML: 120.5 | RESULT: 达标
[2026-04-08T23:21:29.002900] ACTION: IOT_UPLOAD | CAT: test_cat_84 | ML: 243.5 | RESULT: 超标
[2026-04-08T23:21:29.003576] ACTION: IOT_UPLOAD | CAT: test_cat_98 | ML: 226.5 | RESULT: 超标
[2026-04-08T23:21:29.004425] ACTION: IOT_UPLOAD | CAT: test_cat_97 | ML: 182.9 | RESULT: 超标
[2026-04-08T23:21:29.005075] ACTION: IOT_UPLOAD | CAT: test_cat_44 | ML: 80.0 | RESULT: 未达标
[2026-04-08T23:21:29.005465] ACTION: IOT_UPLOAD | CAT: test_cat_20 | ML: 68.4 | RESULT: 未达标
[2026-04-08T23:21:29.006335] ACTION: IOT_UPLOAD | CAT: test_cat_33 | ML: 102.2 | RESULT: 未达标
[2026-04-08T23:21:29.006748] ACTION: IOT_UPLOAD | CAT: test_cat_20 | ML: 141.2 | RESULT: 达标
[2026-04-08T23:21:29.010912] ACTION: IOT_UPLOAD | CAT: test_cat_49 | ML: 203.4 | RESULT: 超标
[2026-04-08T23:21:29.011812] ACTION: IOT_UPLOAD | CAT: test_cat_32 | ML: 124.5 | RESULT: 达标
[2026-04-08T23:21:29.015333] ACTION: IOT_UPLOAD | CAT: test_cat_100 | ML: 191.3 | RESULT: 超标
[2026-04-08T23:21:29.016059] ACTION: IOT_UPLOAD | CAT: test_cat_20 | ML: 12.8 | RESULT: 未达标
[2026-04-08T23:21:29.016828] ACTION: IOT_UPLOAD | CAT: test_cat_71 | ML: 102.3 | RESULT: 未达标
[2026-04-08T23:21:29.017249] ACTION: IOT_UPLOAD | CAT: test_cat_23 | ML: 122.6 | RESULT: 达标
[2026-04-08T23:21:29.019464] ACTION: IOT_UPLOAD | CAT: test_cat_84 | ML: 172.0 | RESULT: 达标
[2026-04-08T23:21:29.021872] ACTION: IOT_UPLOAD | CAT: test_cat_82 | ML: 37.4 | RESULT: 未达标
[2026-04-08T23:21:29.022836] ACTION: IOT_UPLOAD | CAT: test_cat_67 | ML: 137.0 | RESULT: 达标
[2026-04-08T23:21:29.023325] ACTION: IOT_UPLOAD | CAT: test_cat_41 | ML: 137.6 | RESULT: 达标
[2026-04-08T23:21:29.023939] ACTION: IOT_UPLOAD | CAT: test_cat_26 | ML: 240.9 | RESULT: 超标
[2026-04-08T23:21:29.024575] ACTION: IOT_UPLOAD | CAT: test_cat_4 | ML: 173.3 | RESULT: 达标
[2026-04-08T23:21:29.025258] ACTION: IOT_UPLOAD | CAT: test_cat_37 | ML: 135.6 | RESULT: 达标
[2026-04-08T23:21:29.025999] ACTION: IOT_UPLOAD | CAT: test_cat_80 | ML: 98.1 | RESULT: 未达标
[2026-04-08T23:21:29.028389] ACTION: IOT_UPLOAD | CAT: test_cat_89 | ML: 227.6 | RESULT: 超标
[2026-04-08T23:21:29.030673] ACTION: IOT_UPLOAD | CAT: test_cat_22 | ML: 191.6 | RESULT: 超标
[2026-04-08T23:21:29.031400] ACTION: IOT_UPLOAD | CAT: test_cat_90 | ML: 12.6 | RESULT: 未达标
